Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE,ratio (tot.pop),21780000
1/1/2022,AQS,120013012,3,5.8,ug/m3 LC,24,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,2.66299E-07,
1/2/2022,AQS,120013012,3,7,ug/m3 LC,29,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,3.21396E-07,
1/3/2022,AQS,120013012,3,3.7,ug/m3 LC,15,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,1.69881E-07,
1/4/2022,AQS,120013012,3,7.1,ug/m3 LC,30,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,3.25987E-07,
1/5/2022,AQS,120013012,3,7.5,ug/m3 LC,31,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,3.44353E-07,
1/6/2022,AQS,120013012,3,8.6,ug/m3 LC,36,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,3.94858E-07,
1/7/2022,AQS,120013012,3,6.2,ug/m3 LC,26,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,2.84665E-07,
1/8/2022,AQS,120013012,3,6.2,ug/m3 LC,26,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,2.84665E-07,
1/9/2022,AQS,120013012,3,5.5,ug/m3 LC,23,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,2.52525E-07,
1/10/2022,AQS,120013012,3,4.5,ug/m3 LC,19,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,2.06612E-07,
1/11/2022,AQS,120013012,3,5.3,ug/m3 LC,22,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,2.43343E-07,
1/12/2022,AQS,120013012,3,5.4,ug/m3 LC,23,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,2.47934E-07,
1/13/2022,AQS,120013012,3,10.3,ug/m3 LC,43,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,4.72911E-07,
1/14/2022,AQS,120013012,3,9.3,ug/m3 LC,39,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,4.26997E-07,
1/15/2022,AQS,120013012,3,8.8,ug/m3 LC,37,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,4.0404E-07,
1/16/2022,AQS,120013012,3,7.1,ug/m3 LC,30,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,3.25987E-07,
1/17/2022,AQS,120013012,3,3.9,ug/m3 LC,16,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,1.79063E-07,
1/18/2022,AQS,120013012,3,6.1,ug/m3 LC,25,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,2.80073E-07,
1/19/2022,AQS,120013012,3,5.4,ug/m3 LC,23,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,2.47934E-07,
1/20/2022,AQS,120013012,3,6.2,ug/m3 LC,26,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,2.84665E-07,
1/21/2022,AQS,120013012,3,8.3,ug/m3 LC,35,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,3.81084E-07,
1/22/2022,AQS,120013012,3,4.5,ug/m3 LC,19,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,2.06612E-07,
1/23/2022,AQS,120013012,3,7.5,ug/m3 LC,31,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,3.44353E-07,
1/24/2022,AQS,120013012,3,12.7,ug/m3 LC,52,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,5.83104E-07,
1/25/2022,AQS,120013012,3,8.1,ug/m3 LC,34,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,3.71901E-07,
1/26/2022,AQS,120013012,3,7.4,ug/m3 LC,31,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,3.39761E-07,
1/27/2022,AQS,120013012,3,11.7,ug/m3 LC,49,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,5.3719E-07,
1/28/2022,AQS,120013012,3,10.1,ug/m3 LC,42,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,4.63728E-07,
1/29/2022,AQS,120013012,3,7,ug/m3 LC,29,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,3.21396E-07,
1/30/2022,AQS,120013012,3,8.8,ug/m3 LC,37,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,4.0404E-07,
1/31/2022,AQS,120013012,3,5.9,ug/m3 LC,25,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,2.70891E-07,
2/1/2022,AQS,120013012,3,8.3,ug/m3 LC,35,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,3.81084E-07,
2/2/2022,AQS,120013012,3,7.1,ug/m3 LC,30,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,3.25987E-07,
2/3/2022,AQS,120013012,3,5.7,ug/m3 LC,24,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,2.61708E-07,
2/4/2022,AQS,120013012,3,6.3,ug/m3 LC,26,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,2.89256E-07,
2/5/2022,AQS,120013012,3,4.1,ug/m3 LC,17,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,1.88246E-07,
2/6/2022,AQS,120013012,3,3.7,ug/m3 LC,15,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,1.69881E-07,
2/7/2022,AQS,120013012,3,6,ug/m3 LC,25,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,2.75482E-07,
2/8/2022,AQS,120013012,3,6.2,ug/m3 LC,26,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,2.84665E-07,
2/9/2022,AQS,120013012,3,7.5,ug/m3 LC,31,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,3.44353E-07,
2/10/2022,AQS,120013012,3,8.4,ug/m3 LC,35,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,3.85675E-07,
2/11/2022,AQS,120013012,3,12.5,ug/m3 LC,52,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,5.73921E-07,
2/12/2022,AQS,120013012,3,10.5,ug/m3 LC,44,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,4.82094E-07,
2/13/2022,AQS,120013012,3,12.4,ug/m3 LC,52,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,5.6933E-07,
2/14/2022,AQS,120013012,3,6.5,ug/m3 LC,27,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,2.98439E-07,
2/15/2022,AQS,120013012,3,11.7,ug/m3 LC,49,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,5.3719E-07,
2/16/2022,AQS,120013012,3,9.6,ug/m3 LC,40,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,4.40771E-07,
2/17/2022,AQS,120013012,3,7.1,ug/m3 LC,30,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,3.25987E-07,
2/18/2022,AQS,120013012,3,6.9,ug/m3 LC,29,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,3.16804E-07,
2/19/2022,AQS,120013012,3,6.4,ug/m3 LC,27,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,2.93848E-07,
2/20/2022,AQS,120013012,3,8.2,ug/m3 LC,34,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,3.76492E-07,
2/21/2022,AQS,120013012,3,7.7,ug/m3 LC,32,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,3.53535E-07,
2/22/2022,AQS,120013012,3,9.8,ug/m3 LC,41,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,4.49954E-07,
2/23/2022,AQS,120013012,3,7.8,ug/m3 LC,33,Paynes Prairie Farm,1,100,88101,PM2.5 - Local Conditions,23540,"Gainesville, FL",12,Florida,1,Alachua,29.566112,-82.26608,3.58127E-07,
